<<<<<<< HEAD
"AMZN",909.29,"4/26/2017","4:00pm",+1.67,910.30,915.75,907.56,2603720
=======
"AMZN",909.29,"4/26/2017","4:00pm",+1.67,910.52,915.75,907.56,2603698
>>>>>>> origin/master
